category,container,blob,size_bytes,local_download_name,purpose,https_url
input,baseline,auth-monitoring/input6mothback/masked_output_recommendations_2.csv,4236318,inputs/masked_output_recommendations_2.csv,baseline recommendations used by monitoring,https://stpmlops06152240.blob.core.windows.net/baseline/auth-monitoring/input6mothback/masked_output_recommendations_2.csv
input,raw-masked,auth-monitoring/input-avance4-current/masked_current_auth_dataset.csv,154325982,inputs/masked_current_auth_dataset.csv,current raw transactional input,https://stpmlops06152240.blob.core.windows.net/raw-masked/auth-monitoring/input-avance4-current/masked_current_auth_dataset.csv
summary,runs,environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/model_run_log.json,1082,runs/model_run_log.json,run metadata and lineage,https://stpmlops06152240.blob.core.windows.net/runs/environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/model_run_log.json
summary,runs,environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/notification_payload.json,941,runs/summaries/notification_payload.json,notification payload,https://stpmlops06152240.blob.core.windows.net/runs/environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/notification_payload.json
summary,runs,environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/operational_decision_summary.csv,675,runs/summaries/operational_decision_summary.csv,operational action and rationale,https://stpmlops06152240.blob.core.windows.net/runs/environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/operational_decision_summary.csv
summary,runs,environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/run_readiness_summary.csv,1461,runs/summaries/run_readiness_summary.csv,run readiness status and KPI summary,https://stpmlops06152240.blob.core.windows.net/runs/environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/run_readiness_summary.csv
summary,runs,environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/simulated_operational_handoff.json,525,runs/summaries/simulated_operational_handoff.json,simulated handoff decision,https://stpmlops06152240.blob.core.windows.net/runs/environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/simulated_operational_handoff.json
summary,runs,environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/validity_reason_summary.csv,472,runs/summaries/validity_reason_summary.csv,counts by validity reason,https://stpmlops06152240.blob.core.windows.net/runs/environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/validity_reason_summary.csv
summary,runs,environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/validity_revenue_summary.csv,125,runs/summaries/validity_revenue_summary.csv,revenue summary by validity status,https://stpmlops06152240.blob.core.windows.net/runs/environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/validity_revenue_summary.csv
summary,runs,environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/validity_summary.csv,154,runs/summaries/validity_summary.csv,validity status summary,https://stpmlops06152240.blob.core.windows.net/runs/environment=staging/compute=azure-ml/trigger=batch-endpoint/owner=team46/run_date=20260621/run_id=20260621T025500Z-new-auth-inputs/summaries/validity_summary.csv
